,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
119,119,Charlottetowne Ave,600,1100,23,['9b5fec9bd7489ef859660827e5e82d52164363f9'],[809.0],"['3vkP6t_kKN3JT8MMUaBVEA', 'Iyt5sJVjyCvVS2p8Xw0I6A']","[915.0, 722.0]",1,2
120,120,Chestnut Lake Dr,5000,5500,22,['860b2f771800f4a01b26e44783a61cecdc399021'],[5028.0],[],[],1,0
121,121,Chestnut Lake Dr,5500,6000,0,[],[],[],[],0,0
122,122,Chilham Pl,3000,3500,0,[],[],[],[],0,0
123,123,Chilham Pl,3500,4000,13,['c1508768ed1e4455299db2ec179147466fa916e1'],[3525.0],[],[],1,0
124,124,Churchill Downs Ct,100,600,0,[],[],[],[],0,0
125,125,Churchill Downs Ct,600,1100,8,['b45eb226ae89008415443f2f4f03e820c04fef4a'],[950.0],[],[],1,0
126,126,City View Dr,6000,6500,0,[],[],[],[],0,0
127,127,City View Dr,6500,7000,21,['5d954d3b71d48ac4231fb417cd228425b912ee65'],[6926.0],[],[],1,0
128,128,Clanton Rd,100,600,24,['fd155ade0a4e210625c6573d5ec74ba4b994f1c5'],[435.0],[],[],1,0
129,129,Clanton Rd,600,1100,84,"['00bcad59ccd9dc2c7d8c4c03d653e976adc4cbe4', '717b23338f7f8932f63481a32e80a38f196b3094', '5969e48448bd4c54c940347174ecc3a808331199', 'da86f5f5810b3b6ff329fe897edfc53052ed38a5']","[611.0, 1022.0, 1003.0, 1003.0]",[],[],4,0
130,130,Clanton Rd,1100,1600,0,[],[],[],[],0,0
131,131,Clanton Rd,1600,2100,0,[],[],[],[],0,0
132,132,Clarke Creek Pkwy,6000,6500,21,['21a5cb4792177d372688cd18484665744dbbe40e'],[6402.0],[],[],1,0
133,133,Clarke Creek Pkwy,6500,7000,0,[],[],[],[],0,0
134,134,Coddington Pl,1000,1500,25,['01e0581cc725ccfc1da3249e325be597c95ec416'],[1069.0],[],[],1,0
135,135,Coddington Pl,1500,2000,0,[],[],[],[],0,0
136,136,Colony Acres Dr,100,600,18,['82f9e0389485f8e3f80f55c9b78dd4104fdbab9b'],[333.0],[],[],1,0
137,137,Colony Acres Dr,600,1100,0,[],[],[],[],0,0
138,138,Colony Rd,2000,2500,20,['d88ddb5506c565077a29c6d2b6165eed6a73fe1e'],[2174.0],[],[],1,0
139,139,Colony Rd,2500,3000,0,[],[],[],[],0,0
